# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5
parkinson's disease,use inhaler if prescribed,take paracetamol if needed,use moisturizer,avoid direct sunlight,wash hands frequently
tonsillitis,wash hands frequently,apply cold compress,use inhaler if prescribed,take paracetamol if needed,take prescribed medicines
thyroid disorder,apply cold compress,wash hands frequently,use sunscreen,,
chronic fatigue,maintain hygiene,take rest,use inhaler if prescribed,take prescribed medicines,sleep well
epilepsy,wear mask,avoid oily food,avoid stress,,
covid-19,exercise regularly,avoid direct sunlight,avoid junk food,maintain hygiene,avoid cold drinks
irritable bowel syndrome,avoid cold drinks,avoid direct sunlight,use inhaler if prescribed,use antiseptic cream,use moisturizer
bronchitis,use moisturizer,take paracetamol if needed,avoid oily food,,
bronchial asthma,avoid contact with infected people,exercise regularly,eat healthy diet,take rest,take paracetamol if needed
arthritis,avoid direct sunlight,wash hands frequently,take rest,,
gastric ulcer,avoid contact with infected people,use antiseptic cream,eat healthy diet,avoid stress,
dental cavity,take prescribed medicines,avoid direct sunlight,stay hydrated,consult a doctor,avoid oily food
appendicitis,use sunscreen,follow doctor's advice,wash hands frequently,,
stomach cancer,wear mask,wash hands frequently,exercise regularly,,
colon cancer,avoid contact with infected people,take paracetamol if needed,stay hydrated,avoid direct sunlight,
viral fever,wear mask,sleep well,take vitamin supplements,avoid junk food,exercise regularly
chickenpox,avoid stress,use antiseptic cream,take paracetamol if needed,monitor symptoms,
hepatitis,use antiseptic cream,take paracetamol if needed,use moisturizer,monitor symptoms,
urinary tract infection,avoid stress,take vitamin supplements,wear mask,take prescribed medicines,drink warm fluids
ulcer,maintain hygiene,apply cold compress,exercise regularly,eat healthy diet,monitor symptoms
anemia,stay hydrated,exercise regularly,avoid stress,use moisturizer,take prescribed medicines
bronchial asthma,sleep well,consult a doctor,avoid contact with infected people,,
chronic cough,follow doctor's advice,wear mask,use inhaler if prescribed,,
chronic bronchitis,follow doctor's advice,consult a doctor,eat healthy diet,,
leukemia,drink warm fluids,maintain hygiene,avoid stress,sleep well,consult a doctor
sinusitis,use moisturizer,use sunscreen,drink warm fluids,,
sore throat,apply cold compress,avoid cold drinks,avoid stress,consult a doctor,use antiseptic cream
anxiety,wash hands frequently,drink warm fluids,use moisturizer,,
dehydration,avoid contact with infected people,avoid stress,avoid cold drinks,follow doctor's advice,avoid direct sunlight
encephalitis,take prescribed medicines,cover mouth while coughing,take paracetamol if needed,use moisturizer,
colon cancer,use inhaler if prescribed,take vitamin supplements,use moisturizer,,
food poisoning,apply cold compress,eat healthy diet,use antiseptic cream,take paracetamol if needed,take vitamin supplements
jaundice,avoid cold drinks,use inhaler if prescribed,follow doctor's advice,wear mask,
stomach cancer,use moisturizer,stay hydrated,cover mouth while coughing,,
common cold,use antiseptic cream,avoid junk food,apply cold compress,use inhaler if prescribed,
lung cancer,exercise regularly,avoid direct sunlight,take vitamin supplements,eat healthy diet,
pneumonia,apply cold compress,avoid direct sunlight,consult a doctor,use antiseptic cream,
hepatitis b,avoid stress,exercise regularly,consult a doctor,apply cold compress,use moisturizer
ulcerative colitis,take paracetamol if needed,avoid direct sunlight,use antiseptic cream,maintain hygiene,avoid contact with infected people
sinusitis,eat healthy diet,avoid contact with infected people,monitor symptoms,use antiseptic cream,take vitamin supplements
skin cancer,avoid cold drinks,eat healthy diet,apply cold compress,avoid junk food,
herpes,take paracetamol if needed,drink warm fluids,use moisturizer,,
scabies,take vitamin supplements,consult a doctor,maintain hygiene,avoid direct sunlight,
migraine,avoid contact with infected people,wash hands frequently,take prescribed medicines,,
bronchial asthma,monitor symptoms,avoid oily food,use sunscreen,take paracetamol if needed,avoid direct sunlight
kidney stone,follow doctor's advice,avoid junk food,avoid oily food,take vitamin supplements,
pneumonia,take rest,exercise regularly,use antiseptic cream,avoid contact with infected people,
epilepsy,avoid oily food,eat healthy diet,avoid stress,take paracetamol if needed,
seasonal allergy,eat healthy diet,maintain hygiene,avoid direct sunlight,apply cold compress,avoid stress
gastritis,avoid junk food,take paracetamol if needed,stay hydrated,,
psoriasis,use antiseptic cream,avoid oily food,avoid contact with infected people,stay hydrated,
sinusitis,stay hydrated,follow doctor's advice,take paracetamol if needed,,
appendicitis,eat healthy diet,use moisturizer,wear mask,follow doctor's advice,
pneumonia,wash hands frequently,avoid junk food,cover mouth while coughing,follow doctor's advice,maintain hygiene
sleep apnea,avoid cold drinks,use sunscreen,sleep well,monitor symptoms,take vitamin supplements
covid-19,take paracetamol if needed,cover mouth while coughing,apply cold compress,,
seasonal allergy,take prescribed medicines,avoid direct sunlight,eat healthy diet,,
chickenpox,consult a doctor,wash hands frequently,use moisturizer,,
fungal infection,avoid junk food,wash hands frequently,exercise regularly,take vitamin supplements,
crohn's disease,avoid junk food,follow doctor's advice,take paracetamol if needed,avoid direct sunlight,use moisturizer
lung cancer,avoid junk food,use moisturizer,stay hydrated,drink warm fluids,
leukemia,avoid contact with infected people,eat healthy diet,exercise regularly,consult a doctor,follow doctor's advice
seasonal allergy,stay hydrated,use antiseptic cream,avoid contact with infected people,take vitamin supplements,cover mouth while coughing
depression,wear mask,avoid contact with infected people,take paracetamol if needed,,
irritable bowel syndrome,maintain hygiene,apply cold compress,avoid cold drinks,cover mouth while coughing,
hepatitis,apply cold compress,drink warm fluids,avoid direct sunlight,,
piles,take vitamin supplements,sleep well,drink warm fluids,stay hydrated,wash hands frequently
gastritis,take prescribed medicines,avoid stress,stay hydrated,,
jaundice,avoid oily food,take paracetamol if needed,use moisturizer,take rest,
bronchial asthma,avoid junk food,exercise regularly,eat healthy diet,consult a doctor,
chronic cough,monitor symptoms,take rest,consult a doctor,wear mask,stay hydrated
adhd,follow doctor's advice,monitor symptoms,wash hands frequently,avoid stress,
hearing loss,cover mouth while coughing,drink warm fluids,take rest,use inhaler if prescribed,avoid direct sunlight
cervical cancer,consult a doctor,wash hands frequently,avoid direct sunlight,,
psoriasis,wear mask,monitor symptoms,avoid junk food,avoid contact with infected people,
viral fever,wear mask,sleep well,avoid contact with infected people,avoid junk food,avoid oily food
hepatitis c,exercise regularly,avoid cold drinks,stay hydrated,use moisturizer,take rest
lymphoma,take prescribed medicines,use sunscreen,avoid contact with infected people,,
lupus,use moisturizer,stay hydrated,take paracetamol if needed,take prescribed medicines,
crohn's disease,apply cold compress,take paracetamol if needed,eat healthy diet,,
herpes,avoid junk food,use antiseptic cream,apply cold compress,wear mask,exercise regularly
hearing loss,cover mouth while coughing,stay hydrated,sleep well,,
herpes,apply cold compress,consult a doctor,avoid contact with infected people,,
hepatitis c,apply cold compress,eat healthy diet,take rest,maintain hygiene,wear mask
arthritis,use inhaler if prescribed,sleep well,exercise regularly,,
migraine,apply cold compress,use moisturizer,use antiseptic cream,,
irritable bowel syndrome,follow doctor's advice,drink warm fluids,use moisturizer,consult a doctor,
scabies,use moisturizer,use antiseptic cream,avoid oily food,,
adhd,wear mask,eat healthy diet,stay hydrated,,
gastritis,wash hands frequently,follow doctor's advice,use antiseptic cream,eat healthy diet,exercise regularly
adhd,avoid contact with infected people,avoid cold drinks,avoid direct sunlight,cover mouth while coughing,
cervical cancer,apply cold compress,consult a doctor,maintain hygiene,use inhaler if prescribed,stay hydrated
food poisoning,eat healthy diet,apply cold compress,take vitamin supplements,maintain hygiene,stay hydrated
jaundice,take vitamin supplements,take paracetamol if needed,avoid junk food,drink warm fluids,maintain hygiene
stroke,avoid cold drinks,avoid stress,maintain hygiene,apply cold compress,
migraine,apply cold compress,take vitamin supplements,stay hydrated,avoid oily food,eat healthy diet
kidney stone,use moisturizer,avoid contact with infected people,avoid cold drinks,use sunscreen,
pneumonia,use moisturizer,avoid stress,avoid oily food,wear mask,
eczema,wear mask,take paracetamol if needed,use moisturizer,avoid cold drinks,
malaria,avoid oily food,maintain hygiene,wear mask,,
eye infection,cover mouth while coughing,avoid cold drinks,use sunscreen,avoid oily food,
bacterial infection,use inhaler if prescribed,stay hydrated,take prescribed medicines,,
leukemia,apply cold compress,consult a doctor,use moisturizer,,
constipation,avoid stress,exercise regularly,sleep well,,
meningitis,use moisturizer,cover mouth while coughing,avoid junk food,consult a doctor,monitor symptoms
bacterial infection,avoid cold drinks,avoid junk food,sleep well,,
colon cancer,avoid cold drinks,eat healthy diet,monitor symptoms,avoid junk food,
heart disease,avoid stress,consult a doctor,stay hydrated,take prescribed medicines,
lupus,avoid junk food,use moisturizer,eat healthy diet,drink warm fluids,
parkinson's disease,use inhaler if prescribed,take vitamin supplements,exercise regularly,maintain hygiene,
migraine,avoid stress,take paracetamol if needed,drink warm fluids,,
parkinson's disease,maintain hygiene,eat healthy diet,use inhaler if prescribed,avoid cold drinks,
sleep apnea,avoid junk food,take paracetamol if needed,avoid stress,sleep well,take rest
gastric ulcer,drink warm fluids,exercise regularly,avoid junk food,wash hands frequently,eat healthy diet
dental cavity,exercise regularly,avoid cold drinks,take prescribed medicines,,
autism,take vitamin supplements,eat healthy diet,use inhaler if prescribed,avoid direct sunlight,sleep well
celiac disease,sleep well,wash hands frequently,take rest,monitor symptoms,
ulcer,use sunscreen,exercise regularly,eat healthy diet,,
eczema,avoid junk food,wear mask,use sunscreen,,
meningitis,monitor symptoms,take prescribed medicines,sleep well,use inhaler if prescribed,wash hands frequently
eczema flare-up,monitor symptoms,cover mouth while coughing,follow doctor's advice,avoid oily food,
encephalitis,take prescribed medicines,monitor symptoms,exercise regularly,sleep well,stay hydrated
crohn's disease,take prescribed medicines,wear mask,exercise regularly,,
yeast infection,avoid direct sunlight,exercise regularly,take prescribed medicines,cover mouth while coughing,
constipation,apply cold compress,use moisturizer,eat healthy diet,avoid junk food,cover mouth while coughing
skin cancer,avoid contact with infected people,avoid stress,take paracetamol if needed,consult a doctor,use sunscreen
heart disease,avoid contact with infected people,take rest,consult a doctor,exercise regularly,avoid cold drinks
heart disease,exercise regularly,avoid cold drinks,use inhaler if prescribed,apply cold compress,avoid oily food
ear infection,take rest,avoid stress,take vitamin supplements,use antiseptic cream,monitor symptoms
hepatitis a,take vitamin supplements,avoid cold drinks,stay hydrated,apply cold compress,
sore throat,sleep well,cover mouth while coughing,follow doctor's advice,take vitamin supplements,
covid-19,consult a doctor,wash hands frequently,follow doctor's advice,take vitamin supplements,use inhaler if prescribed
ulcer,follow doctor's advice,avoid contact with infected people,cover mouth while coughing,maintain hygiene,
alzheimer's disease,monitor symptoms,avoid direct sunlight,follow doctor's advice,use moisturizer,
adhd,avoid stress,avoid contact with infected people,wear mask,,
hepatitis a,avoid oily food,stay hydrated,apply cold compress,wash hands frequently,
conjunctivitis,wash hands frequently,monitor symptoms,avoid direct sunlight,,
lung cancer,stay hydrated,drink warm fluids,consult a doctor,take rest,
jaundice,avoid direct sunlight,exercise regularly,take vitamin supplements,apply cold compress,
malaria,consult a doctor,cover mouth while coughing,maintain hygiene,avoid stress,apply cold compress
heat stroke,take paracetamol if needed,avoid direct sunlight,wash hands frequently,monitor symptoms,
hepatitis c,use antiseptic cream,drink warm fluids,take prescribed medicines,,
urinary tract infection,drink warm fluids,use moisturizer,take prescribed medicines,avoid junk food,wear mask
malaria,use sunscreen,avoid cold drinks,avoid oily food,,
lymphoma,follow doctor's advice,cover mouth while coughing,take prescribed medicines,monitor symptoms,avoid cold drinks
gastritis,eat healthy diet,use antiseptic cream,wash hands frequently,,
sore throat,take prescribed medicines,use inhaler if prescribed,avoid direct sunlight,sleep well,eat healthy diet
ulcer,wash hands frequently,sleep well,eat healthy diet,,
colon cancer,stay hydrated,take paracetamol if needed,avoid direct sunlight,wash hands frequently,maintain hygiene
skin cancer,take vitamin supplements,cover mouth while coughing,stay hydrated,,
autism,use inhaler if prescribed,maintain hygiene,avoid direct sunlight,,
lung cancer,avoid cold drinks,stay hydrated,avoid direct sunlight,avoid oily food,
tuberculosis,monitor symptoms,follow doctor's advice,maintain hygiene,,
skin cancer,take vitamin supplements,exercise regularly,eat healthy diet,,
encephalitis,consult a doctor,avoid oily food,take rest,,
parkinson's disease,avoid direct sunlight,avoid contact with infected people,wear mask,,
encephalitis,consult a doctor,use moisturizer,monitor symptoms,take rest,
typhoid,take rest,avoid direct sunlight,follow doctor's advice,wear mask,
chronic cough,take prescribed medicines,eat healthy diet,sleep well,avoid cold drinks,consult a doctor
chronic bronchitis,use moisturizer,eat healthy diet,use sunscreen,avoid cold drinks,
migraine,take prescribed medicines,use inhaler if prescribed,sleep well,take paracetamol if needed,avoid stress
stroke,follow doctor's advice,exercise regularly,use sunscreen,take rest,take vitamin supplements
hepatitis b,take prescribed medicines,take vitamin supplements,apply cold compress,,
hepatitis a,wear mask,use sunscreen,take paracetamol if needed,,
meningitis,take vitamin supplements,exercise regularly,wear mask,,
hepatitis a,eat healthy diet,take vitamin supplements,use antiseptic cream,use sunscreen,apply cold compress
skin cancer,apply cold compress,take paracetamol if needed,drink warm fluids,take rest,avoid cold drinks
typhoid,avoid stress,follow doctor's advice,use inhaler if prescribed,,
dehydration,take vitamin supplements,exercise regularly,take prescribed medicines,eat healthy diet,
malaria,use antiseptic cream,take prescribed medicines,eat healthy diet,monitor symptoms,
pneumonia,take vitamin supplements,use sunscreen,take rest,wash hands frequently,avoid oily food
eczema flare-up,maintain hygiene,take paracetamol if needed,wash hands frequently,,
eczema,avoid oily food,exercise regularly,avoid direct sunlight,eat healthy diet,use sunscreen
conjunctivitis,follow doctor's advice,maintain hygiene,use sunscreen,,
pneumonia,avoid cold drinks,take prescribed medicines,use moisturizer,cover mouth while coughing,
heart disease,take rest,avoid direct sunlight,wash hands frequently,wear mask,
hypertension,avoid junk food,use antiseptic cream,apply cold compress,,
adhd,avoid direct sunlight,take paracetamol if needed,apply cold compress,avoid cold drinks,
sleep apnea,use antiseptic cream,drink warm fluids,cover mouth while coughing,,
sore throat,use sunscreen,use moisturizer,monitor symptoms,drink warm fluids,apply cold compress
dental cavity,avoid direct sunlight,take vitamin supplements,take prescribed medicines,,
autism,avoid oily food,use sunscreen,avoid junk food,use moisturizer,take vitamin supplements
gallstones,follow doctor's advice,avoid oily food,wash hands frequently,take paracetamol if needed,maintain hygiene
autism,drink warm fluids,avoid junk food,monitor symptoms,,
depression,apply cold compress,wear mask,avoid stress,use sunscreen,
chronic fatigue,eat healthy diet,avoid junk food,take rest,take paracetamol if needed,avoid cold drinks
gallstones,apply cold compress,sleep well,follow doctor's advice,,
ringworm,take prescribed medicines,apply cold compress,drink warm fluids,avoid cold drinks,wash hands frequently
covid-19,sleep well,avoid contact with infected people,consult a doctor,,
scabies,cover mouth while coughing,avoid oily food,use sunscreen,,
chronic fatigue,use moisturizer,wear mask,use inhaler if prescribed,,
kidney stone,take rest,avoid contact with infected people,use antiseptic cream,,
malaria,monitor symptoms,sleep well,drink warm fluids,consult a doctor,
ulcer,avoid junk food,stay hydrated,take rest,,
lung cancer,wear mask,avoid cold drinks,exercise regularly,,
tonsillitis,exercise regularly,avoid contact with infected people,use inhaler if prescribed,stay hydrated,
heat stroke,apply cold compress,take rest,follow doctor's advice,,
tonsillitis,use inhaler if prescribed,take rest,avoid junk food,eat healthy diet,
hearing loss,avoid oily food,exercise regularly,wear mask,follow doctor's advice,
adhd,cover mouth while coughing,apply cold compress,consult a doctor,follow doctor's advice,
thyroid disorder,apply cold compress,take vitamin supplements,eat healthy diet,,
lupus,consult a doctor,take rest,follow doctor's advice,,
bacterial infection,take rest,use sunscreen,exercise regularly,use inhaler if prescribed,
alzheimer's disease,avoid cold drinks,avoid direct sunlight,use inhaler if prescribed,take vitamin supplements,
parkinson's disease,use moisturizer,stay hydrated,wear mask,,
insomnia,drink warm fluids,avoid stress,monitor symptoms,,
dengue,wear mask,maintain hygiene,sleep well,take paracetamol if needed,
dental cavity,use antiseptic cream,avoid oily food,take rest,,
bronchial asthma,take prescribed medicines,cover mouth while coughing,monitor symptoms,follow doctor's advice,maintain hygiene
fungal infection,eat healthy diet,avoid junk food,maintain hygiene,use moisturizer,use antiseptic cream
dengue,sleep well,take paracetamol if needed,use inhaler if prescribed,,
anxiety,use moisturizer,consult a doctor,avoid contact with infected people,,
migraine,avoid cold drinks,avoid direct sunlight,apply cold compress,avoid stress,
seasonal allergy,eat healthy diet,sleep well,avoid cold drinks,monitor symptoms,
malaria,eat healthy diet,use antiseptic cream,maintain hygiene,avoid stress,
sleep apnea,follow doctor's advice,exercise regularly,monitor symptoms,avoid stress,
stroke,avoid direct sunlight,take rest,apply cold compress,consult a doctor,
gum disease,cover mouth while coughing,take prescribed medicines,drink warm fluids,stay hydrated,wear mask
ulcer,use antiseptic cream,exercise regularly,use moisturizer,follow doctor's advice,
urinary tract infection,cover mouth while coughing,take vitamin supplements,eat healthy diet,wear mask,take prescribed medicines
asthma,take rest,sleep well,take prescribed medicines,apply cold compress,maintain hygiene
crohn's disease,drink warm fluids,sleep well,avoid contact with infected people,wear mask,
allergy,take vitamin supplements,wash hands frequently,cover mouth while coughing,,
kidney stone,use inhaler if prescribed,eat healthy diet,use antiseptic cream,take rest,
gallstones,maintain hygiene,use antiseptic cream,eat healthy diet,,
depression,maintain hygiene,follow doctor's advice,avoid contact with infected people,avoid oily food,
heart disease,take prescribed medicines,avoid stress,wear mask,avoid junk food,cover mouth while coughing
sore throat,wear mask,follow doctor's advice,drink warm fluids,,
viral fever,use moisturizer,eat healthy diet,cover mouth while coughing,consult a doctor,take prescribed medicines
eye infection,use sunscreen,monitor symptoms,take vitamin supplements,cover mouth while coughing,
chickenpox,sleep well,take vitamin supplements,stay hydrated,use antiseptic cream,eat healthy diet
hepatitis b,wash hands frequently,consult a doctor,exercise regularly,,
gastritis,drink warm fluids,apply cold compress,use sunscreen,avoid stress,avoid contact with infected people
typhoid,monitor symptoms,consult a doctor,wash hands frequently,avoid contact with infected people,
ear infection,exercise regularly,take rest,use inhaler if prescribed,,
stroke,avoid junk food,sleep well,avoid oily food,take prescribed medicines,
sleep apnea,monitor symptoms,use moisturizer,use sunscreen,sleep well,
colon cancer,follow doctor's advice,wash hands frequently,exercise regularly,take rest,use antiseptic cream
herpes,use antiseptic cream,consult a doctor,use inhaler if prescribed,avoid contact with infected people,
ulcer,avoid contact with infected people,avoid junk food,apply cold compress,,
herpes,sleep well,use inhaler if prescribed,use sunscreen,,
encephalitis,avoid direct sunlight,cover mouth while coughing,use moisturizer,,
ulcer,exercise regularly,maintain hygiene,avoid oily food,,
gout,use moisturizer,exercise regularly,sleep well,,
cold,eat healthy diet,drink warm fluids,use sunscreen,,
alzheimer's disease,use inhaler if prescribed,use sunscreen,cover mouth while coughing,consult a doctor,
obesity,stay hydrated,take rest,take vitamin supplements,sleep well,avoid cold drinks
allergy,cover mouth while coughing,monitor symptoms,use antiseptic cream,,
seasonal allergy,use inhaler if prescribed,use moisturizer,apply cold compress,,
heart disease,sleep well,apply cold compress,use antiseptic cream,cover mouth while coughing,stay hydrated
viral fever,follow doctor's advice,take rest,take prescribed medicines,take paracetamol if needed,
sleep apnea,follow doctor's advice,drink warm fluids,monitor symptoms,avoid stress,sleep well
panic disorder,take vitamin supplements,eat healthy diet,take paracetamol if needed,avoid cold drinks,use sunscreen
sinusitis,follow doctor's advice,avoid cold drinks,use sunscreen,exercise regularly,wear mask
conjunctivitis,cover mouth while coughing,avoid cold drinks,avoid oily food,avoid stress,
scabies,cover mouth while coughing,take rest,take prescribed medicines,use inhaler if prescribed,
thyroid disorder,avoid contact with infected people,monitor symptoms,use inhaler if prescribed,avoid direct sunlight,
migraine attack,exercise regularly,follow doctor's advice,use inhaler if prescribed,apply cold compress,cover mouth while coughing
conjunctivitis,avoid oily food,use inhaler if prescribed,use sunscreen,,
thyroid disorder,maintain hygiene,avoid oily food,sleep well,avoid stress,
gastric ulcer,use sunscreen,avoid contact with infected people,eat healthy diet,avoid junk food,use antiseptic cream
eczema flare-up,take rest,avoid oily food,avoid junk food,consult a doctor,
hepatitis,use inhaler if prescribed,follow doctor's advice,take paracetamol if needed,eat healthy diet,apply cold compress
obesity,eat healthy diet,use antiseptic cream,consult a doctor,,
sunburn,stay hydrated,take prescribed medicines,avoid contact with infected people,sleep well,
gallstones,consult a doctor,use inhaler if prescribed,use antiseptic cream,use sunscreen,use moisturizer
thyroid disorder,take prescribed medicines,wear mask,consult a doctor,avoid cold drinks,
breast cancer,avoid junk food,avoid cold drinks,take vitamin supplements,,
jaundice,wash hands frequently,avoid contact with infected people,stay hydrated,use antiseptic cream,
autism,drink warm fluids,take paracetamol if needed,eat healthy diet,use moisturizer,
gout,apply cold compress,wear mask,take rest,avoid cold drinks,stay hydrated
yeast infection,apply cold compress,avoid stress,take rest,avoid cold drinks,avoid direct sunlight
conjunctivitis,avoid stress,use antiseptic cream,drink warm fluids,take paracetamol if needed,use sunscreen
gout,use moisturizer,stay hydrated,consult a doctor,take vitamin supplements,wash hands frequently
crohn's disease,eat healthy diet,maintain hygiene,take vitamin supplements,,
eye infection,avoid contact with infected people,drink warm fluids,avoid stress,,
panic disorder,cover mouth while coughing,use inhaler if prescribed,use sunscreen,,
cold,monitor symptoms,exercise regularly,use moisturizer,avoid oily food,consult a doctor
sore throat,take paracetamol if needed,avoid contact with infected people,sleep well,use inhaler if prescribed,eat healthy diet
hepatitis c,avoid stress,apply cold compress,take vitamin supplements,monitor symptoms,stay hydrated
autism,stay hydrated,eat healthy diet,use inhaler if prescribed,cover mouth while coughing,
bronchitis,use antiseptic cream,apply cold compress,use sunscreen,avoid contact with infected people,
insomnia,use sunscreen,avoid contact with infected people,wash hands frequently,exercise regularly,
measles,take paracetamol if needed,take prescribed medicines,follow doctor's advice,,
chronic fatigue,consult a doctor,maintain hygiene,take rest,take paracetamol if needed,
psoriasis,take paracetamol if needed,avoid stress,cover mouth while coughing,,
sore throat,take rest,avoid cold drinks,avoid oily food,exercise regularly,avoid contact with infected people
frostbite,use moisturizer,wear mask,use inhaler if prescribed,wash hands frequently,
gout,take prescribed medicines,drink warm fluids,avoid cold drinks,stay hydrated,avoid junk food
obesity,use moisturizer,avoid contact with infected people,cover mouth while coughing,monitor symptoms,
colon cancer,take rest,apply cold compress,take paracetamol if needed,,
ear infection,use antiseptic cream,apply cold compress,stay hydrated,avoid contact with infected people,use moisturizer
pneumonia,take paracetamol if needed,avoid oily food,use antiseptic cream,take rest,
ulcer,monitor symptoms,consult a doctor,sleep well,cover mouth while coughing,avoid stress
tonsillitis,avoid stress,avoid oily food,avoid cold drinks,use sunscreen,use moisturizer
eczema flare-up,consult a doctor,avoid cold drinks,apply cold compress,maintain hygiene,
chronic bronchitis,stay hydrated,follow doctor's advice,monitor symptoms,use inhaler if prescribed,sleep well
diabetes,wash hands frequently,drink warm fluids,take vitamin supplements,consult a doctor,use moisturizer
lung cancer,avoid junk food,apply cold compress,monitor symptoms,take rest,consult a doctor
yeast infection,use sunscreen,wear mask,consult a doctor,,
irritable bowel syndrome,use sunscreen,take rest,cover mouth while coughing,,
